timestamp,hour,month,day_of_week,is_weekday,outdoor_temp_c,humidity_pct,solar_radiation_wm2,occupancy_count,chiller_setpoint_c,cooling_load_kwh,comfort_score,is_sandstorm,is_chiller_fault,is_ramadan,is_public_holiday,is_heatwave
2024-01-01 00:00,0,1,0,1,18.0,64.6,0.0,21,8.33,12.93,94,0,0,0,1,0
2024-01-01 01:00,1,1,0,1,18.0,61.2,0.0,15,8.36,5.0,98,0,0,0,1,0
2024-01-01 02:00,2,1,0,1,18.0,56.8,0.0,13,8.41,8.39,99,0,0,0,1,0
2024-01-01 03:00,3,1,0,1,18.0,57.5,0.0,2,8.64,5.19,95,0,0,0,1,0
2024-01-01 04:00,4,1,0,1,18.0,54.4,0.0,9,8.92,6.59,96,0,0,0,1,0
2024-01-01 05:00,5,1,0,1,23.1,59.6,0.0,10,8.42,9.39,96,0,0,0,1,0
2024-01-01 06:00,6,1,0,1,24.9,60.1,12.2,23,8.64,21.45,99,0,0,0,1,0
2024-01-01 07:00,7,1,0,1,26.4,60.8,159.3,19,7.37,59.87,91,0,0,0,1,0
2024-01-01 08:00,8,1,0,1,27.8,58.0,356.1,89,7.44,106.77,94,0,0,0,1,0
2024-01-01 09:00,9,1,0,1,28.3,54.9,453.5,82,7.42,123.45,94,0,0,0,1,0
2024-01-01 10:00,10,1,0,1,28.9,58.9,595.5,49,7.69,147.2,89,0,0,0,1,0
2024-01-01 11:00,11,1,0,1,28.8,62.4,663.6,78,7.53,164.67,88,0,0,0,1,0
2024-01-01 12:00,12,1,0,1,28.9,64.4,744.2,49,7.55,179.15,86,0,0,0,1,0
2024-01-01 13:00,13,1,0,1,28.8,71.2,678.9,87,7.83,177.16,83,0,0,0,1,0
2024-01-01 14:00,14,1,0,1,26.6,65.8,655.9,90,7.59,159.35,89,0,0,0,1,0
2024-01-01 15:00,15,1,0,1,26.8,72.2,597.0,59,7.53,151.91,84,0,0,0,1,0
2024-01-01 16:00,16,1,0,1,25.6,72.7,470.1,19,7.55,121.92,86,0,0,0,1,0
2024-01-01 17:00,17,1,0,1,24.6,74.9,351.8,7,8.36,98.07,92,0,0,0,1,0
2024-01-01 18:00,18,1,0,1,19.8,72.3,205.5,7,8.39,59.2,94,0,0,0,1,0
2024-01-01 19:00,19,1,0,1,21.2,68.5,1.9,21,8.49,16.3,96,0,0,0,1,0
2024-01-01 20:00,20,1,0,1,20.2,71.7,0.0,28,8.43,22.53,90,0,0,0,1,0
2024-01-01 21:00,21,1,0,1,19.9,72.8,0.0,20,8.51,19.77,89,0,0,0,1,0
2024-01-01 22:00,22,1,0,1,20.7,70.7,0.0,20,8.36,20.92,94,0,0,0,1,0
2024-01-01 23:00,23,1,0,1,21.0,67.1,0.0,15,8.63,14.62,96,0,0,0,1,0
2024-01-02 00:00,0,1,1,1,18.0,67.3,0.0,18,8.52,9.61,89,0,0,0,0,0
2024-01-02 01:00,1,1,1,1,18.0,61.7,0.0,1,8.51,7.23,94,0,0,0,0,0
2024-01-02 02:00,2,1,1,1,18.0,63.0,0.0,31,8.86,15.04,96,0,0,0,0,0
2024-01-02 03:00,3,1,1,1,18.0,62.5,0.0,13,8.41,8.48,99,0,0,0,0,0
2024-01-02 04:00,4,1,1,1,18.0,57.1,0.0,7,8.55,6.2,100,0,0,0,0,0
2024-01-02 05:00,5,1,1,1,25.0,53.3,0.0,12,8.78,13.81,100,0,0,0,0,0
2024-01-02 06:00,6,1,1,1,24.7,47.3,0.0,8,8.35,12.63,100,0,0,0,0,0
2024-01-02 07:00,7,1,1,1,26.4,57.4,158.2,264,7.85,86.72,90,0,0,0,0,0
